X,Y,Z,SignedDistance
329443.754154988,7744821.63698672,260.452174999557,79.844
329445.131585931,7744821.81832895,259.013495398879,78.158
329446.509016875,7744821.99967117,257.574815798202,76.486
329447.886447819,7744822.18101339,256.136136197525,74.831
329449.263878762,7744822.36235562,254.697456596847,73.192
329450.641309706,7744822.54369784,253.25877699617,71.573
329452.018740649,7744822.72504007,251.820097395493,69.972
329453.396171593,7744822.90638229,250.381417794815,68.393
329454.773602537,7744823.08772451,248.942738194138,66.837
329456.15103348,7744823.26906674,247.504058593461,65.304
329457.528464424,7744823.45040896,246.065378992783,63.703
329458.905895367,7744823.63175119,244.626699392106,61.914
329460.283326311,7744823.81309341,243.188019791429,60.139
329461.660757255,7744823.99443563,241.749340190752,58.378
329463.038188198,7744824.17577786,240.310660590074,56.632
329464.415619142,7744824.35712008,238.871980989397,54.904
329465.793050085,7744824.53846231,237.43330138872,53.195
329467.170481029,7744824.71980453,235.994621788042,51.508
329468.547911973,7744824.90114675,234.555942187365,49.843
329469.925342916,7744825.08248898,233.117262586688,48.203
329471.30277386,7744825.2638312,231.67858298601,46.592
329472.680204804,7744825.44517343,230.239903385333,45.012
329474.057635747,7744825.62651565,228.801223784656,43.467
329475.435066691,7744825.80785787,227.362544183979,41.96
329476.812497634,7744825.9892001,225.923864583301,40.496
329478.189928578,7744826.17054232,224.485184982624,39.08
329479.567359522,7744826.35188455,223.046505381947,37.716
329480.944790465,7744826.53322677,221.607825781269,36.411
329482.322221409,7744826.71456899,220.169146180592,35.171
329483.699652352,7744826.89591122,218.730466579915,34.005
329485.077083296,7744827.07725344,217.291786979237,32.918
329486.476335084,7744827.23008843,215.871537914599,31.896
329487.897407715,7744827.35441617,214.469719385999,30.946
329489.318480347,7744827.47874392,213.0679008574,30.098
329490.739552979,7744827.60307166,211.6660823288,29.363
329492.160625611,7744827.72739941,210.2642638002,28.748
329493.581698242,7744827.85172715,208.8624452716,28.262
329495.002770874,7744827.9760549,207.460626743001,27.91
329496.423843506,7744828.10038264,206.058808214401,27.699
329497.844916137,7744828.22471039,204.656989685801,27.1
329499.265988769,7744828.34903813,203.255171157202,25.1
329500.687061401,7744828.47336588,201.853352628602,23.1
329502.108134033,7744828.59769362,200.451534100002,21.1
329503.529206664,7744828.72202137,199.049715571403,19.1
329504.950279296,7744828.84634912,197.647897042803,17.1
329506.371351928,7744828.97067686,196.246078514203,15.1
329507.792424559,7744829.09500461,194.844259985603,13.1
329509.213497191,7744829.21933235,193.442441457004,11.1
329510.634569823,7744829.3436601,192.040622928404,9.1
329512.055642455,7744829.46798784,190.638804399804,7.1
329513.476715086,7744829.59231559,189.236985871205,5.1
329514.897787718,7744829.71664333,187.835167342605,3.1
329516.31886035,7744829.84097108,186.433348814005,1.1
329516.709655323,7744829.87516121,186.04784871864,0.55
329517.100450297,7744829.90935134,185.662348623275,0
329517.455718455,7744829.94043327,185.311893991125,-0.5
329517.810986613,7744829.97151521,184.961439358975,-1
329518.166254771,7744830.00259715,184.610984726826,-1.5
329518.521522929,7744830.03367908,184.260530094676,-2
329518.876791087,7744830.06476102,183.910075462526,-2.5
329519.232059245,7744830.09584296,183.559620830376,-3
329519.587327403,7744830.12692489,183.209166198226,-3.5
329519.942595561,7744830.15800683,182.858711566076,-4
329520.297863719,7744830.18908876,182.508256933926,-4.5
329520.653131876,7744830.2201707,182.157802301776,-5
329521.008400034,7744830.25125264,181.807347669626,-5.5
329521.363668192,7744830.28233457,181.456893037476,-6
329521.71893635,7744830.31341651,181.106438405326,-6.5
329522.074204508,7744830.34449845,180.755983773176,-7
329522.429472666,7744830.37558038,180.405529141026,-7.5
329522.784740824,7744830.40666232,180.055074508877,-8
329523.140008982,7744830.43774426,179.704619876727,-8.5
329523.49527714,7744830.46882619,179.354165244577,-9
329523.850545298,7744830.49990813,179.003710612427,-9.5
329524.205813456,7744830.53099006,178.653255980277,-10
329524.561081614,7744830.562072,178.302801348127,-10.5
329524.916349772,7744830.59315394,177.952346715977,-11
329525.273655116,7744830.62057187,177.603783174251,-11.5
329525.639109206,7744830.63333381,177.26278399422,-11.999
329526.004563297,7744830.64609575,176.921784814188,-12.499
329526.370017387,7744830.65885769,176.580785634157,-12.999
329526.735471477,7744830.67161963,176.239786454126,-13.498
329527.100925568,7744830.68438156,175.898787274095,-13.998
329527.466379658,7744830.6971435,175.557788094063,-14.497
329527.831833748,7744830.70990544,175.216788914032,-14.997
329528.197287839,7744830.72266738,174.875789734001,-15.497
329528.562741929,7744830.73542932,174.53479055397,-15.997
329528.92819602,7744830.74819125,174.193791373938,-16.496
329529.29365011,7744830.76095319,173.852792193907,-16.996
329529.6591042,7744830.77371513,173.511793013876,-17.496
329530.024558291,7744830.78647707,173.170793833845,-17.996
329530.390012381,7744830.79923901,172.829794653813,-18.495
329530.755466471,7744830.81200094,172.488795473782,-18.995
329531.120920562,7744830.82476288,172.147796293751,-19.495
329531.486374652,7744830.83752482,171.80679711372,-19.995
329531.851828742,7744830.85028676,171.465797933688,-20.495
329532.217282833,7744830.8630487,171.124798753657,-20.994
329532.582736923,7744830.87581064,170.783799573626,-21.494
329532.948191013,7744830.88857257,170.442800393595,-21.994
329533.313645104,7744830.90133451,170.101801213563,-22.494
329533.679099194,7744830.91409645,169.760802033532,-22.994
329534.044553284,7744830.92685839,169.419802853501,-23.494
329534.410007375,7744830.93962033,169.07880367347,-23.994
