X,Y,Z
329000,7743535.79453472,409.443838940666
329000,7743537.70580011,409.460000264303
329000.664420064,7743540.55676692,409.482115594593
329000,7743539.61711097,409.476246581006
329000,7743540.55677947,409.484182019354
329000,7743541.49642698,409.492158310833
329000,7743543.40775936,409.508347077465
329000.664374257,7743546.25872762,409.530536859574
329000,7743545.31913593,409.524620803802
329000,7743546.25874007,409.532567538517
329000,7743547.19832389,409.540555068733
329000,7743549.10972128,409.556769094127
329000.664329914,7743551.96069095,409.579031772165
329000,7743551.02116145,409.573068019988
329000,7743551.96070328,409.581024964907
329000,7743552.90022551,409.589022619459
329000,7743554.81168576,409.605259653923
329000.664287132,7743557.66265686,409.627593464832
329000,7743556.72318734,409.621581391417
329000,7743557.66266904,409.629547375705
329000,7743558.6021319,409.637553929149
329000,7743560.51365275,409.653811494512
329000.664246008,7743563.36462524,409.676214432379
329000,7743562.42521336,409.670153453728
329000,7743563.36463725,409.678127210302
329000,7743564.30404311,409.686141339496
329000,7743566.21562216,409.702416756621
329000.664206647,7743569.06659603,409.724886563506
329000,7743568.1272393,409.718776139157
329000,7743569.06660784,409.726756301649
329000,7743570.00595919,409.734776580471
329000,7743571.91759389,409.751066958361
329000.664169156,7743574.76856909,409.773601108066
329000,7743573.82926488,409.767440746153
329000,7743574.76858068,409.775425843619
329000,7743575.7078802,409.783450737547
329000,7743577.61956782,409.799752962148
329000.664133645,7743580.47054433,409.822348643333
329000,7743579.53128985,409.816137905953
329000,7743580.47055567,409.824126357391
329000,7743581.40980616,409.832154217871
329000,7743583.32154382,409.848464940444
329000.664100227,7743586.1725216,409.87111903906
329000,7743585.2333139,409.864857547946
329000,7743586.17253266,409.87284765665
329000,7743587.1117371,409.880876715313
329000,7743589.02352176,409.897192340526
329000.66406902,7743591.87450076,409.919901421577
329000,7743590.93533673,409.913588864094
329000,7743591.87451151,409.921578811824
329000,7743592.81367302,409.9296071745
329002.679938181,7743594.72545792,409.939102039829
329000,7743594.72550147,409.945923848097
329000.664040143,7743597.57648165,409.968684136719
329000,7743596.63735801,409.962320272198
329000,7743597.57649206,409.970308113173
329000,7743598.51561394,409.978333753753
329002.67990964,7743600.42744065,409.988043720355
329000,7743600.42748279,409.994647349947
329000,7743602.33937739,410.01103937824
329000.66401372,7743603.27846407,410.017454711841
329000,7743603.27847411,410.019023032977
